frame,t_sec,hand,handedness_score,lm0_x,lm0_y,lm0_z,lm1_x,lm1_y,lm1_z,lm2_x,lm2_y,lm2_z,lm3_x,lm3_y,lm3_z,lm4_x,lm4_y,lm4_z,lm5_x,lm5_y,lm5_z,lm6_x,lm6_y,lm6_z,lm7_x,lm7_y,lm7_z,lm8_x,lm8_y,lm8_z,lm9_x,lm9_y,lm9_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z
0,0.3527,Left,0.895,0.5233521461486816,1.0597903728485107,1.295492779718188e-07,0.4757642149925232,1.0268540382385254,-0.01745959371328354,0.4359491467475891,0.9733280539512634,-0.03639198839664459,0.40302330255508423,0.9312816858291626,-0.05584122613072395,0.3728044033050537,0.8953094482421875,-0.07691085338592529,0.48233193159103394,0.8819209337234497,-0.03417905792593956,0.47115880250930786,0.8000072240829468,-0.05913270264863968,0.45777004957199097,0.7637834548950195,-0.07745247334241867,0.4430207908153534,0.7389164566993713,-0.08880384266376495,0.521270751953125,0.8816628456115723,-0.04230055212974548,0.5274978876113892,0.777381420135498,-0.06504253298044205,0.5205285549163818,0.714328408241272,-0.08377019315958023,0.5094944834709167,0.6659592390060425,-0.09659639000892639,0.5565118789672852,0.9054017066955566,-0.05212102830410004,0.5724635124206543,0.8110353350639343,-0.07532993704080582,0.574690580368042,0.7506715655326843,-0.09433344751596451,0.5716599822044373,0.7013409733772278,-0.10643072426319122,0.5865716934204102,0.9446007013320923,-0.06226149946451187,0.6156004667282104,0.8854833841323853,-0.08091817051172256,0.6310844421386719,0.8465276956558228,-0.09096203744411469,0.638860285282135,0.8104572892189026,-0.09749192744493484
1,0.3985,Left,0.936,0.5390864610671997,1.016002893447876,4.86049032133451e-07,0.4892031252384186,0.9789892435073853,-0.02216065675020218,0.4479324519634247,0.9223760366439819,-0.03971150889992714,0.41343337297439575,0.8765643835067749,-0.05520280450582504,0.3813638985157013,0.8414386510848999,-0.07151662558317184,0.49489229917526245,0.8190826177597046,-0.03437170758843422,0.48105916380882263,0.7372882962226868,-0.05764630436897278,0.4677414298057556,0.6910400390625,-0.0749257355928421,0.45345789194107056,0.6508070826530457,-0.08695600926876068,0.5343703627586365,0.8185693025588989,-0.040454864501953125,0.5398092865943909,0.7253708839416504,-0.061454080045223236,0.537419855594635,0.6661230325698853,-0.07892373949289322,0.5322191715240479,0.6132480502128601,-0.09111272543668747,0.5680959820747375,0.8408875465393066,-0.048759058117866516,0.5844429135322571,0.7598451972007751,-0.07315818965435028,0.5904530882835388,0.7045993208885193,-0.0902501717209816,0.592566967010498,0.6515965461730957,-0.10130549222230911,0.5959380865097046,0.8799246549606323,-0.05778221786022186,0.6243614554405212,0.826453685760498,-0.08081169426441193,0.6410448551177979,0.7872232794761658,-0.09053312987089157,0.6530604362487793,0.7461100220680237,-0.09611587226390839
2,0.4455,Left,0.981,0.5433979034423828,0.9745056629180908,4.813949203708034e-07,0.4948163628578186,0.9337064027786255,-0.021406101062893867,0.45480412244796753,0.8731700778007507,-0.03721114993095398,0.41960814595222473,0.8265367746353149,-0.051442280411720276,0.3872951865196228,0.7908996939659119,-0.06623557955026627,0.5053122043609619,0.7682862281799316,-0.027595410123467445,0.49215805530548096,0.6823218464851379,-0.04928549751639366,0.4801313281059265,0.6338502168655396,-0.06626953184604645,0.46714940667152405,0.5922229290008545,-0.07828739285469055,0.5424968004226685,0.7706183195114136,-0.033645302057266235,0.5504271984100342,0.6792956590652466,-0.05276452749967575,0.5493171215057373,0.6230635046958923,-0.06857006251811981,0.5449557900428772,0.574459969997406,-0.07960779964923859,0.5741468071937561,0.7931583523750305,-0.04255399480462074,0.5925696492195129,0.7142479419708252,-0.06437058746814728,0.5994008183479309,0.6608083248138428,-0.07873088121414185,0.6024490594863892,0.6097087860107422,-0.08828312158584595,0.6006249189376831,0.8312957882881165,-0.05271041393280029,0.6299853920936584,0.780074954032898,-0.07325807958841324,0.64708411693573,0.743186891078949,-0.08120134472846985,0.6601109504699707,0.7052602767944336,-0.0858176201581955
3,0.4983,Left,0.982,0.5463656187057495,0.940129280090332,4.924236804981774e-07,0.49688687920570374,0.8973193168640137,-0.022968070581555367,0.45720618963241577,0.8391311168670654,-0.03969839960336685,0.42375412583351135,0.7930478453636169,-0.05480882525444031,0.39249274134635925,0.7558299899101257,-0.07027936726808548,0.5105738043785095,0.7313429117202759,-0.027457870543003082,0.4998560845851898,0.6458972096443176,-0.049172572791576385,0.4887177646160126,0.5972682237625122,-0.06648971140384674,0.47652435302734375,0.5547711253166199,-0.07879945635795593,0.5491548180580139,0.7331486344337463,-0.03290576487779617,0.5587780475616455,0.6400398015975952,-0.051104407757520676,0.560422956943512,0.5819289088249207,-0.06666687875986099,0.55865079164505,0.531512975692749,-0.07782196998596191,0.5818721652030945,0.7557555437088013,-0.041555255651474,0.6024523973464966,0.6762389540672302,-0.0624452568590641,0.6111690998077393,0.6232799887657166,-0.07648401707410812,0.615742564201355,0.5727754831314087,-0.08598139137029648,0.6087617874145508,0.7942590117454529,-0.05180386081337929,0.6393717527389526,0.7443093657493591,-0.07136261463165283,0.6570915579795837,0.7082189917564392,-0.07911059260368347,0.6707578301429749,0.6704561710357666,-0.0837286040186882
4,0.5411,Left,0.985,0.5524169206619263,0.913680911064148,4.6629853045487835e-07,0.5011283755302429,0.8701631426811218,-0.022479265928268433,0.45940226316452026,0.8100230097770691,-0.03900304064154625,0.42601484060287476,0.7635246515274048,-0.05412640795111656,0.3922998011112213,0.7277462482452393,-0.06967931240797043,0.5144037008285522,0.7010477185249329,-0.02553323470056057,0.5049222707748413,0.6192981004714966,-0.045848630368709564,0.49458229541778564,0.5714887380599976,-0.06249824911355972,0.48359614610671997,0.5289595723152161,-0.07491935789585114,0.5526759028434753,0.7018898725509644,-0.031173281371593475,0.5629420876502991,0.6105769276618958,-0.04819934442639351,0.5671188831329346,0.5530824065208435,-0.06345722824335098,0.5683391094207764,0.5033164024353027,-0.07504001259803772,0.585238516330719,0.7236093878746033,-0.040130484849214554,0.6058207750320435,0.64637291431427,-0.0606934130191803,0.6161038875579834,0.5947487354278564,-0.07539258152246475,0.6214847564697266,0.5453599095344543,-0.08580899983644485,0.6126842498779297,0.7606430649757385,-0.05071497708559036,0.6437667608261108,0.7118749618530273,-0.070072241127491,0.6615933179855347,0.6771224737167358,-0.07864110171794891,0.6746517419815063,0.6407278180122375,-0.08441531658172607
5,0.5884,Left,0.986,0.5560984015464783,0.8985995650291443,4.4999262627243297e-07,0.5057622194290161,0.8561166524887085,-0.02180333621799946,0.4630025327205658,0.795348584651947,-0.036462314426898956,0.4295756220817566,0.7476369142532349,-0.0499371737241745,0.39678847789764404,0.7125712633132935,-0.0635485127568245,0.5171810388565063,0.6821736097335815,-0.020523808896541595,0.506589949131012,0.6011520624160767,-0.03739761933684349,0.496639609336853,0.5538228750228882,-0.0519510880112648,0.4867844879627228,0.5115786194801331,-0.06333134323358536,0.5560639500617981,0.6818616986274719,-0.02579517662525177,0.5650643110275269,0.5917553305625916,-0.039117202162742615,0.5687757134437561,0.5356834530830383,-0.05206215754151344,0.5700836777687073,0.48819485306739807,-0.062462303787469864,0.5897090435028076,0.7022642493247986,-0.034661874175071716,0.6080314517021179,0.624495267868042,-0.052647460252046585,0.6183245778083801,0.574474036693573,-0.06610336154699326,0.6249249577522278,0.5278391242027283,-0.07594601809978485,0.617850124835968,0.7372493147850037,-0.045378342270851135,0.648277223110199,0.6865290403366089,-0.06343596428632736,0.6681198477745056,0.6522505879402161,-0.07180310785770416,0.6842562556266785,0.6175469160079956,-0.07755573838949203
6,0.6329,Left,0.984,0.5612203478813171,0.8897592425346375,4.3047910480709106e-07,0.5106379389762878,0.845284640789032,-0.02106776088476181,0.4674983024597168,0.7808064222335815,-0.03384628891944885,0.43390947580337524,0.7309719920158386,-0.04563681781291962,0.4009467363357544,0.6964645981788635,-0.05722780153155327,0.5219722986221313,0.6679834127426147,-0.015267623588442802,0.5106145739555359,0.5878984928131104,-0.029572147876024246,0.5012406706809998,0.5416125059127808,-0.04261188581585884,0.4922660291194916,0.49962183833122253,-0.05327161028981209,0.5616282224655151,0.667794942855835,-0.020403744652867317,0.5696790218353271,0.5803550481796265,-0.03119773045182228,0.5740090012550354,0.5246983766555786,-0.04280991479754448,0.5763494372367859,0.4772510230541229,-0.05259302258491516,0.5960332155227661,0.6884679198265076,-0.029469940811395645,0.6139218807220459,0.6138681769371033,-0.045920975506305695,0.625034511089325,0.5648923516273499,-0.05907514691352844,0.6324761509895325,0.5195371508598328,-0.06881596148014069,0.6242814660072327,0.7227897047996521,-0.04050087183713913,0.6535460352897644,0.6731913685798645,-0.05804536119103432,0.6738319396972656,0.6392064690589905,-0.06687643378973007,0.6912294626235962,0.6046326160430908,-0.07305322587490082
7,0.6778,Left,0.985,0.5678483247756958,0.8694865703582764,4.6841643097650376e-07,0.518336832523346,0.8228800296783447,-0.02243572287261486,0.47665101289749146,0.7552446126937866,-0.03378861024975777,0.4433158338069916,0.7072617411613464,-0.04422857612371445,0.4115656614303589,0.6725826859474182,-0.054098665714263916,0.5343658924102783,0.64657062292099,-0.01008815597742796,0.5215089321136475,0.5690889358520508,-0.02132449857890606,0.5125622153282166,0.5247161984443665,-0.0317770279943943,0.504950761795044,0.48375338315963745,-0.04055621102452278,0.574304461479187,0.6473667621612549,-0.013293765485286713,0.5853021740913391,0.5644625425338745,-0.020720520988106728,0.5911992788314819,0.5116201639175415,-0.029485013335943222,0.5949774384498596,0.46548086404800415,-0.03679025173187256,0.6079567074775696,0.6684713959693909,-0.02103528566658497,0.6289730072021484,0.5991649031639099,-0.03488755226135254,0.6407673954963684,0.5539058446884155,-0.04494357854127884,0.6487966775894165,0.5107229351997375,-0.051885493099689484,0.6339656114578247,0.7025400996208191,-0.031221667304635048,0.6638745665550232,0.656902551651001,-0.04641489312052727,0.6843222379684448,0.624100923538208,-0.05337872356176376,0.7026467323303223,0.5900579690933228,-0.0576898567378521
8,0.7277,Left,0.986,0.570432186126709,0.8681896328926086,4.269951432434027e-07,0.5206695795059204,0.8224446177482605,-0.02330034039914608,0.4781142771244049,0.7574921250343323,-0.03578950837254524,0.4450540840625763,0.7072876691818237,-0.047188811004161835,0.41385146975517273,0.6721349954605103,-0.05808795243501663,0.536380410194397,0.6479663848876953,-0.012739392928779125,0.5238971710205078,0.5698719620704651,-0.02591722458600998,0.5152134299278259,0.5243169069290161,-0.03803621977567673,0.5087900757789612,0.4828775227069855,-0.047826651483774185,0.5763469934463501,0.6467758417129517,-0.015958083793520927,0.5851879715919495,0.5622750520706177,-0.025003015995025635,0.5914031267166138,0.5081233382225037,-0.03471681848168373,0.5961325168609619,0.4630048871040344,-0.042869873344898224,0.6101890802383423,0.6659887433052063,-0.023717883974313736,0.6308324933052063,0.596521258354187,-0.038094256073236465,0.6437550783157349,0.551443338394165,-0.04892085865139961,0.6529271602630615,0.5105136036872864,-0.05662604793906212,0.637193500995636,0.6978120803833008,-0.03402068465948105,0.6666817665100098,0.6529146432876587,-0.04911681264638901,0.686761736869812,0.6211649179458618,-0.05650078505277634,0.704809844493866,0.5889131426811218,-0.061418622732162476
9,0.7756,Left,0.981,0.572705090045929,0.8684905767440796,4.232867922837613e-07,0.5235143303871155,0.8216205835342407,-0.024355448782444,0.4805086553096771,0.7581000924110413,-0.037893034517765045,0.44641542434692383,0.7087905406951904,-0.05010136216878891,0.4152761697769165,0.6730284690856934,-0.0618387907743454,0.537971556186676,0.649728536605835,-0.01551072858273983,0.5259132385253906,0.570766031742096,-0.030072374269366264,0.5175161957740784,0.5244412422180176,-0.043118223547935486,0.5111430287361145,0.4824422597885132,-0.053508296608924866,0.5780044794082642,0.6486647725105286,-0.018544655293226242,0.5865150690078735,0.5633097887039185,-0.029431069269776344,0.592185914516449,0.5084284543991089,-0.04061514139175415,0.5964279174804688,0.4627721905708313,-0.04978114366531372,0.6120417714118958,0.6678420901298523,-0.026006808504462242,0.6324821710586548,0.5977659225463867,-0.041990820318460464,0.6449167728424072,0.5523791313171387,-0.054165348410606384,0.6538318395614624,0.5110803246498108,-0.06268950551748276,0.6396318674087524,0.699919581413269,-0.03590758889913559,0.6691440343856812,0.6545302867889404,-0.05212009698152542,0.689572811126709,0.6226831078529358,-0.060208965092897415,0.7079344987869263,0.5904298424720764,-0.06560655683279037
