frame,t_sec,hand,handedness_score,lm0_x,lm0_y,lm0_z,lm1_x,lm1_y,lm1_z,lm2_x,lm2_y,lm2_z,lm3_x,lm3_y,lm3_z,lm4_x,lm4_y,lm4_z,lm5_x,lm5_y,lm5_z,lm6_x,lm6_y,lm6_z,lm7_x,lm7_y,lm7_z,lm8_x,lm8_y,lm8_z,lm9_x,lm9_y,lm9_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z
0,0.0327,Left,0.980,0.5506286025047302,0.9351661205291748,5.271604095469229e-07,0.49684464931488037,0.8907637596130371,-0.028580550104379654,0.4505259692668915,0.827735960483551,-0.04739850386977196,0.41211676597595215,0.7801893353462219,-0.06401748210191727,0.3764462471008301,0.7433652281761169,-0.08107517659664154,0.5077992677688599,0.7091680765151978,-0.03374497964978218,0.4968680143356323,0.6183216571807861,-0.05523568391799927,0.4897010326385498,0.5636045932769775,-0.071774922311306,0.48407894372940063,0.514056384563446,-0.08479708433151245,0.5503720641136169,0.7085679173469543,-0.03821314498782158,0.5613344311714172,0.611427366733551,-0.05753612145781517,0.5698986053466797,0.5484864115715027,-0.07406923174858093,0.5772803425788879,0.4933198094367981,-0.0871267095208168,0.5861651301383972,0.7304041981697083,-0.04636634513735771,0.6071324348449707,0.6482420563697815,-0.07040468603372574,0.6199914216995239,0.5942898988723755,-0.08821730315685272,0.6302873492240906,0.5431605577468872,-0.10082893818616867,0.6152654886245728,0.7672480940818787,-0.0565924271941185,0.6486246585845947,0.7164013981819153,-0.08075997233390808,0.6716042160987854,0.6797962188720703,-0.0935816615819931,0.6914611458778381,0.6414899826049805,-0.10235654562711716
1,0.0914,Left,0.978,0.5517362952232361,0.9349258542060852,5.266020366434532e-07,0.49803128838539124,0.89046311378479,-0.028548305854201317,0.4516770839691162,0.8274475932121277,-0.047319646924734116,0.41359755396842957,0.7794455885887146,-0.06389458477497101,0.37790238857269287,0.7424944639205933,-0.0809260681271553,0.5092135667800903,0.7092195153236389,-0.03343740105628967,0.49783915281295776,0.6191312670707703,-0.05487819015979767,0.49018922448158264,0.5649975538253784,-0.07147648930549622,0.48391902446746826,0.5158401727676392,-0.0844995379447937,0.552070677280426,0.7087278366088867,-0.0378146693110466,0.5634090304374695,0.6116361618041992,-0.05690079554915428,0.5719732046127319,0.5488049387931824,-0.07345198839902878,0.5790994167327881,0.4936825633049011,-0.08653080463409424,0.5879588723182678,0.7307833433151245,-0.0458676852285862,0.6091787219047546,0.64912348985672,-0.0695994645357132,0.621566116809845,0.5951269268989563,-0.0873999148607254,0.6311866044998169,0.5440831780433655,-0.09999540448188782,0.6170555353164673,0.767776608467102,-0.055987052619457245,0.6505717635154724,0.7168455123901367,-0.0796324834227562,0.6734399795532227,0.6802881360054016,-0.09214325994253159,0.6930976510047913,0.6422654986381531,-0.10072558373212814
2,0.1477,Left,0.981,0.5518403053283691,0.935390830039978,5.215535452407494e-07,0.498405784368515,0.8903092741966248,-0.02837168052792549,0.452363520860672,0.826664924621582,-0.04710264503955841,0.4145256280899048,0.7784369587898254,-0.06370297074317932,0.3791878819465637,0.7408945560455322,-0.08072986453771591,0.5108799934387207,0.7080352902412415,-0.032987646758556366,0.4996061325073242,0.6183662414550781,-0.054633401334285736,0.4911951720714569,0.5647071003913879,-0.07149045914411545,0.48360198736190796,0.5160542726516724,-0.08459029346704483,0.5534972548484802,0.708207368850708,-0.03753651678562164,0.5658908486366272,0.6115980744361877,-0.05672454833984375,0.5743339657783508,0.5488644242286682,-0.07330548763275146,0.5809000134468079,0.4939003586769104,-0.0862525925040245,0.5892096161842346,0.7307589650154114,-0.045817553997039795,0.6107402443885803,0.6492632031440735,-0.06969385594129562,0.6229425668716431,0.5955522656440735,-0.08742106705904007,0.6322629451751709,0.544520378112793,-0.09981042146682739,0.6180568933486938,0.7681604623794556,-0.05616738274693489,0.6517491936683655,0.7172262072563171,-0.07993507385253906,0.674641489982605,0.6808001399040222,-0.09230384975671768,0.6943429112434387,0.6430063843727112,-0.10064832121133804
3,0.1919,Left,0.985,0.5525408387184143,0.9360196590423584,5.11566724981094e-07,0.4992843270301819,0.890727162361145,-0.027758775278925896,0.45339277386665344,0.8262186646461487,-0.0461774542927742,0.4161669611930847,0.7778508067131042,-0.06259781867265701,0.381527841091156,0.7401177287101746,-0.07952117174863815,0.5116038918495178,0.7076316475868225,-0.03263993561267853,0.5000553131103516,0.6191922426223755,-0.05450214073061943,0.4913215637207031,0.566115140914917,-0.07154855132102966,0.48338213562965393,0.5176244974136353,-0.0848308578133583,0.5539535284042358,0.7076983451843262,-0.03773507475852966,0.5666139721870422,0.6112894415855408,-0.05703425034880638,0.5753337144851685,0.5485170483589172,-0.07354649156332016,0.5821242332458496,0.4935680627822876,-0.08646322041749954,0.5895589590072632,0.7305395603179932,-0.046603281050920486,0.611412525177002,0.6486597061157227,-0.0707213282585144,0.6244065761566162,0.5946696996688843,-0.08858592063188553,0.6345335841178894,0.5431233644485474,-0.10112202167510986,0.6183427572250366,0.7685733437538147,-0.05750269442796707,0.6523765325546265,0.7175287008285522,-0.08167784661054611,0.6758156418800354,0.6809468269348145,-0.09434045851230621,0.6960062384605408,0.6427975296974182,-0.10295142233371735
4,0.2417,Left,0.987,0.5538862943649292,0.935463547706604,5.148638138052775e-07,0.5007559657096863,0.8904411196708679,-0.028794465586543083,0.4557076394557953,0.825080394744873,-0.04739430174231529,0.4181019961833954,0.775839626789093,-0.06395570188760757,0.38280120491981506,0.7386454939842224,-0.08083301782608032,0.514031171798706,0.705407440662384,-0.031379129737615585,0.4991762638092041,0.6188517212867737,-0.05302561819553375,0.48821723461151123,0.5668376684188843,-0.07020656019449234,0.478526771068573,0.5189423561096191,-0.08353335410356522,0.5565671324729919,0.7042325735092163,-0.035745393484830856,0.5689297318458557,0.6092929840087891,-0.053999606519937515,0.5772114992141724,0.5469695329666138,-0.06963468343019485,0.5834463834762573,0.49328553676605225,-0.08195678889751434,0.5921028256416321,0.726842999458313,-0.04421073943376541,0.6134479641914368,0.6465346217155457,-0.06696900725364685,0.625598132610321,0.5934394598007202,-0.08371198922395706,0.6349727511405945,0.542997419834137,-0.09562022984027863,0.6205417513847351,0.7647696137428284,-0.05503672733902931,0.6545016169548035,0.7147937417030334,-0.0778602585196495,0.6774540543556213,0.6786272525787354,-0.08979461342096329,0.6973893642425537,0.6409439444541931,-0.09799790382385254
5,0.2972,Left,0.987,0.5547347068786621,0.9349174499511719,4.805870617019536e-07,0.5014415979385376,0.8898566365242004,-0.027255356311798096,0.4564279019832611,0.8221597075462341,-0.044235050678253174,0.4196239113807678,0.7725059986114502,-0.05948807671666145,0.38537880778312683,0.73503178358078,-0.07492392510175705,0.5149450302124023,0.703576922416687,-0.02714761346578598,0.4976898729801178,0.6195247769355774,-0.0479297861456871,0.4841228723526001,0.5692502856254578,-0.06497028470039368,0.4715333580970764,0.5229830145835876,-0.07817337661981583,0.5572705864906311,0.7016343474388123,-0.03184567764401436,0.5689113140106201,0.6071462631225586,-0.048591237515211105,0.5770452618598938,0.5461639165878296,-0.06332168728113174,0.5825907588005066,0.4944108724594116,-0.07484078407287598,0.5925809741020203,0.7243345379829407,-0.04081175476312637,0.6129509806632996,0.6445987224578857,-0.06214756891131401,0.6258413791656494,0.5925353765487671,-0.0777093693614006,0.6356823444366455,0.5430808067321777,-0.08875541388988495,0.620927095413208,0.7631248235702515,-0.052170414477586746,0.6545303463935852,0.7138341665267944,-0.07350839674472809,0.6774924397468567,0.6783810257911682,-0.08418922871351242,0.6973010897636414,0.6413821578025818,-0.09148762375116348
6,0.3510,Left,0.987,0.5559318661689758,0.9345980286598206,4.466460552521312e-07,0.5034124255180359,0.8886911869049072,-0.02664552628993988,0.45920056104660034,0.8189573287963867,-0.04299365356564522,0.4238833785057068,0.766921877861023,-0.05786926671862602,0.39061784744262695,0.7273123860359192,-0.0728999599814415,0.5154132843017578,0.7034884095191956,-0.025050563737750053,0.49559202790260315,0.6204655170440674,-0.04767244681715965,0.47899284958839417,0.5711724162101746,-0.06613890826702118,0.4635101556777954,0.5277361273765564,-0.07960554212331772,0.5578985214233398,0.7005919218063354,-0.029800308868288994,0.5689876675605774,0.6061817407608032,-0.047119319438934326,0.5766615867614746,0.5449821949005127,-0.06200180575251579,0.5811827182769775,0.49378958344459534,-0.07320956140756607,0.5934886336326599,0.7233582735061646,-0.03909837827086449,0.6134431958198547,0.6440147757530212,-0.060932010412216187,0.6258099675178528,0.5920178294181824,-0.07620367407798767,0.6347917318344116,0.5422035455703735,-0.08655708283185959,0.622191309928894,0.7624112367630005,-0.05074498802423477,0.6551466584205627,0.7129281759262085,-0.07189004868268967,0.6781299710273743,0.6774913668632507,-0.08184681087732315,0.6978847980499268,0.6403765082359314,-0.08833633363246918
7,0.4021,Left,0.989,0.5552806854248047,0.9332926273345947,4.104804531834816e-07,0.5037667751312256,0.8872569799423218,-0.025429321452975273,0.46101388335227966,0.8167924284934998,-0.04098277539014816,0.42653578519821167,0.762873113155365,-0.055322933942079544,0.39247366786003113,0.7223337888717651,-0.06989597529172897,0.516757607460022,0.7020365595817566,-0.022156819701194763,0.4948393404483795,0.6217836737632751,-0.04473922774195671,0.4763322174549103,0.5749974250793457,-0.06358762830495834,0.4588738977909088,0.5347980260848999,-0.07714889943599701,0.5588976740837097,0.6988003849983215,-0.02735665999352932,0.5694987773895264,0.605122447013855,-0.04455601051449776,0.5755033493041992,0.5447940826416016,-0.05984153598546982,0.5779754519462585,0.49435150623321533,-0.07123924046754837,0.5941568613052368,0.7218523025512695,-0.037107616662979126,0.6140115261077881,0.6420437097549438,-0.05917378142476082,0.6265063285827637,0.5899351239204407,-0.07463476806879044,0.6353524327278137,0.5401101112365723,-0.08494876325130463,0.6224608421325684,0.7617170810699463,-0.04904627054929733,0.6555904746055603,0.712023913860321,-0.07022885978221893,0.6790904998779297,0.6766675710678101,-0.08000274747610092,0.6987076997756958,0.6401456594467163,-0.08627086877822876
8,0.4606,Left,0.989,0.5552017688751221,0.9317936897277832,3.94762906807955e-07,0.5043531656265259,0.8854303956031799,-0.0252117607742548,0.46183156967163086,0.8155723214149475,-0.04063091427087784,0.42705315351486206,0.762757420539856,-0.05487203225493431,0.39376240968704224,0.7219703197479248,-0.06932352483272552,0.5175461769104004,0.7010574340820312,-0.02190975286066532,0.4966125190258026,0.6207919716835022,-0.04447489231824875,0.47863060235977173,0.5742144584655762,-0.06327901780605316,0.4616737961769104,0.5343137383460999,-0.07671278715133667,0.5595242977142334,0.6984935998916626,-0.027093686163425446,0.5697385668754578,0.6052693724632263,-0.044148292392492294,0.5753340721130371,0.5448747873306274,-0.059517621994018555,0.5778433084487915,0.4942694902420044,-0.07107625901699066,0.5946071743965149,0.7218629717826843,-0.036791570484638214,0.6155420541763306,0.6425193548202515,-0.058400098234415054,0.6287357211112976,0.5904324650764465,-0.0738418847322464,0.6382275819778442,0.5408956408500671,-0.08429405838251114,0.6227189898490906,0.7619664669036865,-0.04868597164750099,0.6557268500328064,0.7129610180854797,-0.06937700510025024,0.6788960099220276,0.6778172850608826,-0.07903113961219788,0.6984004974365234,0.6416983008384705,-0.08532092720270157
9,0.5048,Left,0.988,0.5553855299949646,0.9308368563652039,4.153378085902659e-07,0.5044854879379272,0.8845861554145813,-0.02687293104827404,0.4617329239845276,0.8151041269302368,-0.04329466447234154,0.42648154497146606,0.7621591091156006,-0.05804840847849846,0.3928877115249634,0.7219182252883911,-0.07298806309700012,0.5180506110191345,0.7008236050605774,-0.025760939344763756,0.4997548758983612,0.6184654831886292,-0.048248354345560074,0.48381930589675903,0.5687671899795532,-0.06669021397829056,0.4690855145454407,0.524872899055481,-0.08034660667181015,0.5600491762161255,0.6990249156951904,-0.03027714416384697,0.5710288882255554,0.6057016849517822,-0.04786115512251854,0.5771144032478333,0.5453970432281494,-0.0631709098815918,0.5803012251853943,0.49448513984680176,-0.0748518630862236,0.5951211452484131,0.7224164009094238,-0.03918265551328659,0.6166210174560547,0.6436480283737183,-0.06100695952773094,0.6299567818641663,0.5917338728904724,-0.07648900896310806,0.6397566795349121,0.5423840880393982,-0.08718358725309372,0.6232730150222778,0.7621973752975464,-0.05040212348103523,0.6571614742279053,0.7132778763771057,-0.07152650505304337,0.6802372932434082,0.6782662868499756,-0.08172651380300522,0.69980388879776,0.6420325040817261,-0.08854321390390396
